X Z Cp
0.000524 0.006584 1.133300
0.000197 0.021802 1.061500
0.000294 0.011038 0.965530
0.000738 0.031244 0.860870
0.001497 0.019406 0.737130
0.002541 0.021528 0.607100
0.003850 0.020624 0.485140
0.005417 0.040713 0.373310
0.007245 0.026814 0.273680
0.009348 0.032945 0.184530
0.011739 0.029116 0.104860
0.014433 0.042336 0.032517
0.017441 0.040606 -0.032200
0.020767 0.043920 -0.090334
0.024403 0.057272 -0.143820
0.028334 0.042649 -0.193480
0.032535 0.061034 -0.239050
0.036974 0.053414 -0.281550
0.041621 0.065773 -0.321800
0.046443 0.055099 -0.359630
0.051411 0.069382 -0.395210
0.056502 0.053616 -0.428570
0.061694 0.069797 -0.460520
0.066972 0.074920 -0.490470
0.072322 0.065986 -0.518940
0.077735 0.074993 -0.545800
0.083202 0.083940 -0.570460
0.088718 0.075831 -0.594010
0.094276 0.084666 -0.616200
0.099872 0.083444 -0.637090
0.105500 0.071169 -0.656690
0.111170 0.074841 -0.674690
0.116860 0.094460 -0.691450
0.122580 0.081031 -0.707420
0.128330 0.078553 -0.722400
0.134100 0.079028 -0.736100
0.139900 0.090456 -0.748960
0.145710 0.085841 -0.760990
0.151550 0.099182 -0.772110
0.157400 0.095481 -0.782770
0.163270 0.091740 -0.792760
0.169160 0.096958 -0.801820
0.175060 0.096139 -0.810470
0.180980 0.100282 -0.818740
0.186910 0.110389 -0.826320
0.192860 0.092460 -0.833560
0.198820 0.092497 -0.840670
0.204790 0.098501 -0.847330
0.210770 0.106472 -0.853560
0.216760 0.103412 -0.859660
0.222770 0.110321 -0.865700
0.228780 0.105200 -0.871680
0.234800 0.100050 -0.877550
0.240830 0.105870 -0.883280
0.246860 0.116663 -0.888800
0.252910 0.115430 -0.894220
0.258960 0.112160 -0.899760
0.265010 0.106880 -0.905450
0.271070 0.114560 -0.911240
0.277140 0.111220 -0.917060
0.283210 0.106850 -0.922890
0.289290 0.104460 -0.928770
0.295370 0.124050 -0.934790
0.301450 0.122610 -0.941000
0.307540 0.124140 -0.947450
0.313630 0.121650 -0.953940
0.319720 0.119140 -0.960390
0.325820 0.111600 -0.966930
0.331920 0.113030 -0.973680
0.338010 0.108440 -0.980660
0.344110 0.115830 -0.987840
0.350210 0.124190 -0.995150
0.356320 0.114530 -1.002500
0.362420 0.109840 -1.009800
0.368520 0.110130 -1.017100
0.374620 0.124390 -1.024400
0.380720 0.115630 -1.032000
0.386820 0.112840 -1.039800
0.392920 0.119020 -1.047400
0.399020 0.124170 -1.054800
0.405110 0.118300 -1.062200
0.411210 0.124400 -1.069700
0.417300 0.124470 -1.077000
0.423390 0.130520 -1.084000
0.429480 0.126530 -1.090900
0.435560 0.113510 -1.097800
0.441650 0.125470 -1.104400
0.447730 0.115390 -1.110800
0.453800 0.129280 -1.116800
0.459870 0.124140 -1.122300
0.465940 0.111970 -1.127400
0.472010 0.124770 -1.132100
0.478070 0.119530 -1.136600
0.484130 0.114260 -1.140600
0.490180 0.122960 -1.143800
0.496230 0.121620 -1.146400
0.502270 0.124240 -1.148400
0.508310 0.114830 -1.149900
0.514350 0.123390 -1.150800
0.520380 0.107900 -1.151100
0.526400 0.109390 -1.150600
0.532420 0.124830 -1.149100
0.538430 0.112240 -1.146800
0.544440 0.125610 -1.143800
0.550440 0.116940 -1.140200
0.556430 0.109230 -1.135800
0.562420 0.110490 -1.130500
0.568400 0.112700 -1.124200
0.574380 0.106880 -1.117200
0.580350 0.117020 -1.109500
0.586310 0.105110 -1.101200
0.592260 0.102173 -1.092500
0.598210 0.113192 -1.083400
0.604150 0.111172 -1.074300
0.610090 0.110112 -1.065000
0.616010 0.098012 -1.056400
0.621930 0.101872 -1.048200
0.627840 0.105693 -1.041300
0.633750 0.094474 -1.034800
0.639640 0.093216 -1.030500
0.645530 0.105919 -0.999630
0.651420 0.104582 -0.918070
0.657290 0.104207 -0.881060
0.663160 0.086794 -0.871300
0.669020 0.096343 -0.858710
0.674870 0.092854 -0.845140
0.680710 0.097327 -0.828150
0.686550 0.093763 -0.809670
0.692380 0.077162 -0.789570
0.698210 0.092526 -0.768650
0.704020 0.082854 -0.746850
0.709830 0.082147 -0.724350
0.715640 0.080406 -0.701160
0.721440 0.076631 -0.677490
0.727230 0.074824 -0.653430
0.733020 0.068984 -0.629050
0.738800 0.065112 -0.604310
0.744570 0.076210 -0.579200
0.750350 0.059277 -0.553860
0.756110 0.077316 -0.528420
0.761880 0.056326 -0.502950
0.767640 0.061310 -0.477430
0.773400 0.057267 -0.451880
0.779150 0.062199 -0.426310
0.784910 0.057107 -0.400760
0.790660 0.044991 -0.375260
0.796410 0.042854 -0.349870
0.802160 0.048696 -0.324610
0.807910 0.047518 -0.299520
0.813670 0.056322 -0.274610
0.819420 0.040109 -0.249910
0.825170 0.044879 -0.225440
0.830930 0.043636 -0.201250
0.836690 0.027379 -0.177360
0.842460 0.040111 -0.153740
0.848220 0.031831 -0.130350
0.854000 0.021543 -0.107230
0.859770 0.027249 -0.084453
0.865550 0.022949 -0.062062
0.871330 0.032647 -0.040058
0.877110 0.016346 -0.018419
0.882890 0.025047 0.002858
0.888670 0.024753 0.023747
0.894440 0.023468 0.044221
0.900200 0.006192 0.064281
0.905960 0.006928 0.083941
0.911720 -0.002322 0.103220
0.917470 0.003444 0.122100
0.923210 0.010228 0.140590
0.928940 0.008032 0.158670
0.934670 -0.010139 0.176360
0.940380 0.006716 0.193650
0.946080 -0.012398 0.210550
0.951750 -0.001474 0.227040
0.957370 -0.009507 0.243130
0.962940 -0.006487 0.258770
0.968370 -0.007391 0.273860
0.973670 -0.006214 0.288400
0.978760 -0.014933 0.302280
0.983500 -0.022503 0.315210
0.987790 -0.011902 0.326950
0.991740 -0.024168 0.337930
0.995520 -0.030360 0.348520
0.999260 -0.026521 0.359510
0.000000 0.009000 0.367470
0.000000 0.014000 0.353170
0.000000 0.018000 0.335930
0.000000 0.002000 0.318970
0.000000 0.018000 0.301930
0.000000 0.001000 0.285340
0.000000 0.004000 0.269050
0.000000 0.000000 0.253200
0.000000 0.008000 0.237780
0.000000 0.014000 0.222840
0.000000 0.016000 0.208360
0.000000 0.010000 0.194380
0.000000 0.011000 0.180900
0.000000 0.010000 0.167940
0.000000 0.019000 0.155510
0.000000 0.018000 0.143630
0.000000 0.012000 0.132300
0.000000 0.010000 0.121520
0.000000 0.007000 0.111320
0.000000 0.003000 0.101680
0.000000 0.013000 0.092620
0.000000 0.003000 0.084126
0.000000 0.002000 0.076197
0.000000 0.002000 0.068824
0.000000 0.017000 0.061996
0.000000 0.002000 0.055702
0.000000 0.007000 0.049929
0.000000 0.015000 0.044664
0.000000 0.018000 0.039895
0.000000 0.001000 0.035610
0.000000 0.011000 0.031801
0.000000 0.007000 0.028464
0.000000 0.003000 0.025602
0.000000 0.017000 0.023230
0.000000 0.012000 0.021379
0.000524 0.023584 1.133300
0.001957 0.010036 0.935200
0.004538 0.017523 0.673800
0.008272 -0.001941 0.504810
0.013102 0.004678 0.360740
0.018954 0.002402 0.250690
0.025743 -0.012749 0.171910
0.033373 0.000240 0.114420
0.041737 0.000384 0.072905
0.050718 -0.007309 0.043207
0.060204 -0.014842 0.022077
0.070091 -0.015220 0.007368
0.080292 -0.022456 -0.003157
0.090733 -0.028563 -0.010746
0.101350 -0.027555 -0.016370
0.112100 -0.022446 -0.021036
0.122940 -0.028246 -0.024860
0.133830 -0.020967 -0.028546
0.144750 -0.026617 -0.032150
0.155670 -0.030202 -0.035849
0.166560 -0.035728 -0.039826
0.177410 -0.036199 -0.043969
0.188200 -0.040620 -0.048501
0.198910 -0.027990 -0.053238
0.209530 -0.048313 -0.058181
0.220040 -0.042590 -0.063384
0.230430 -0.050821 -0.068730
0.240700 -0.036008 -0.074325
0.250830 -0.036151 -0.080033
0.260810 -0.051249 -0.085692
0.270640 -0.046303 -0.091481
0.280300 -0.044314 -0.097373
0.289790 -0.050280 -0.103120
0.299110 -0.058203 -0.108770
0.308240 -0.046083 -0.114490
0.317180 -0.044921 -0.120080
0.325920 -0.047715 -0.125510
0.334470 -0.048469 -0.130860
0.342820 -0.057180 -0.135990
0.350950 -0.049851 -0.140940
0.358880 -0.047483 -0.145720
0.366590 -0.047075 -0.150280
0.374090 -0.049630 -0.154640
0.381360 -0.057149 -0.158870
0.388420 -0.050633 -0.162950
0.395240 -0.062082 -0.166800
0.401840 -0.066498 -0.170340
0.408210 -0.047882 -0.173590
0.414350 -0.059236 -0.176660
0.420260 -0.065562 -0.179590
0.425940 -0.061860 -0.182320
0.431380 -0.061132 -0.184800
0.436580 -0.058379 -0.187090
0.441550 -0.053604 -0.189240
0.446280 -0.064807 -0.191250
0.450770 -0.062989 -0.193080
0.455020 -0.068153 -0.194710
0.459030 -0.060299 -0.196150
0.462800 -0.054430 -0.197390
0.466330 -0.052545 -0.198440
0.469620 -0.068647 -0.199320
0.472670 -0.066736 -0.200060
0.475480 -0.064814 -0.200750
0.478050 -0.060882 -0.201540
0.480390 -0.066940 -0.202460
0.482490 -0.063990 -0.203390
0.484380 -0.063033 -0.203910
0.486090 -0.056070 -0.203600
0.487760 -0.054105 -0.204990
0.489690 -0.056143 -0.207380
0.492670 -0.067198 -0.201870
0.496060 -0.070255 -0.205730
0.499600 -0.051308 -0.207250
0.503210 -0.071353 -0.206730
0.506830 -0.061392 -0.206760
0.510460 -0.068423 -0.207120
0.514100 -0.060446 -0.207460
0.517730 -0.053461 -0.207650
0.521370 -0.062469 -0.207670
0.525000 -0.068468 -0.207560
0.528640 -0.064460 -0.207330
0.532270 -0.066444 -0.207010
0.535900 -0.051419 -0.206610
0.539530 -0.053386 -0.206110
0.543170 -0.058345 -0.205510
0.546800 -0.065296 -0.204810
0.550430 -0.060237 -0.203990
0.554060 -0.055171 -0.203050
0.557680 -0.070096 -0.201980
0.561310 -0.056012 -0.200800
0.564940 -0.061920 -0.199500
0.568570 -0.067819 -0.198110
0.572190 -0.069709 -0.196600
0.575820 -0.052590 -0.194980
0.579440 -0.061463 -0.193230
0.583070 -0.052326 -0.191350
0.586690 -0.062181 -0.189350
0.590310 -0.059026 -0.187240
0.593930 -0.068863 -0.185010
0.597550 -0.053690 -0.182680
0.601170 -0.067509 -0.180260
0.604790 -0.067318 -0.177750
0.608410 -0.058118 -0.175180
0.612030 -0.048910 -0.172560
0.615640 -0.060691 -0.169900
0.619260 -0.058464 -0.167210
0.622880 -0.052228 -0.164520
0.626490 -0.055982 -0.161860
0.630110 -0.058727 -0.159260
0.633720 -0.058463 -0.156790
0.637330 -0.060189 -0.154530
0.640950 -0.053907 -0.152600
0.644560 -0.064616 -0.151170
0.648170 -0.055315 -0.150670
0.651780 -0.047006 -0.147720
0.655390 -0.058688 -0.125020
0.659000 -0.059360 -0.104690
0.662610 -0.053023 -0.091883
0.666220 -0.050678 -0.084854
0.669830 -0.051323 -0.080445
0.673440 -0.044960 -0.076702
0.677050 -0.057588 -0.072833
0.680660 -0.055208 -0.068597
0.684270 -0.055819 -0.063961
0.687870 -0.058421 -0.058944
0.691480 -0.054015 -0.053590
0.695090 -0.041601 -0.047928
0.698700 -0.057178 -0.041967
0.702310 -0.048748 -0.035654
0.705910 -0.057309 -0.029197
0.709520 -0.054863 -0.022486
0.713130 -0.043409 -0.015786
0.716740 -0.054947 -0.008934
