X Z Cp
0.000135 -0.001209 1.085600
0.000255 0.021901 0.838880
0.001669 0.018939 0.511390
0.004024 0.026845 0.299020
0.007144 0.028726 0.165610
0.010983 0.033665 0.070620
0.015513 0.018693 -0.003313
0.020674 0.037801 -0.066745
0.026369 0.033956 -0.123950
0.032479 0.043112 -0.177350
0.038894 0.044232 -0.227960
0.045526 0.050286 -0.275890
0.052311 0.052260 -0.321590
0.059207 0.042142 -0.364750
0.066186 0.043930 -0.405580
0.073229 0.059623 -0.444190
0.080327 0.066219 -0.479600
0.087471 0.067723 -0.512720
0.094657 0.055136 -0.543430
0.101880 0.056461 -0.571810
0.109140 0.064699 -0.597700
0.116420 0.076854 -0.621300
0.123740 0.062929 -0.642830
0.131090 0.075924 -0.661930
0.138460 0.072845 -0.679480
0.145850 0.081692 -0.695060
0.153270 0.079468 -0.708740
0.160700 0.077177 -0.721050
0.168160 0.079820 -0.731720
0.175630 0.091400 -0.741150
0.183120 0.092921 -0.749620
0.190630 0.087382 -0.756820
0.198150 0.094788 -0.762860
0.205690 0.084141 -0.768350
0.213240 0.095443 -0.773330
0.220800 0.087696 -0.777410
0.228370 0.087901 -0.780790
0.235950 0.099062 -0.784120
0.243550 0.095180 -0.787140
0.251150 0.092256 -0.789700
0.258760 0.099292 -0.792110
0.266370 0.091290 -0.794500
0.274000 0.103252 -0.796920
0.281630 0.094178 -0.799360
0.289260 0.095070 -0.801850
0.296910 0.100929 -0.804490
0.304550 0.107756 -0.807350
0.312210 0.100552 -0.810400
0.319860 0.106317 -0.813610
0.327520 0.097052 -0.817010
0.335190 0.107757 -0.820740
0.342860 0.101434 -0.824820
0.350530 0.116082 -0.829100
0.358200 0.105702 -0.833650
0.365880 0.104293 -0.838630
0.373550 0.109856 -0.843840
0.381230 0.116390 -0.849180
0.388910 0.115895 -0.854840
0.396600 0.113372 -0.860850
0.404280 0.119819 -0.867040
0.411960 0.104240 -0.873400
0.419650 0.119620 -0.879930
0.427330 0.118980 -0.886580
0.435020 0.119300 -0.893270
0.442710 0.106590 -0.900020
0.450390 0.107850 -0.906860
0.458080 0.112070 -0.913780
0.465760 0.121260 -0.920620
0.473450 0.113420 -0.927210
0.481130 0.116530 -0.933690
0.488820 0.104620 -0.940160
0.496500 0.114660 -0.946300
0.504180 0.107660 -0.951900
0.511860 0.104620 -0.957210
0.519530 0.120540 -0.962300
0.527210 0.116420 -0.966860
0.534880 0.105250 -0.970770
0.542550 0.118040 -0.974170
0.550220 0.109790 -0.977060
0.557880 0.107490 -0.979280
0.565540 0.119140 -0.980710
0.573200 0.119750 -0.981260
0.580850 0.105310 -0.980990
0.588500 0.116815 -0.980050
0.596140 0.100274 -0.978350
0.603780 0.111682 -0.975690
0.611420 0.116039 -0.972060
0.619050 0.099344 -0.967470
0.626670 0.115597 -0.961980
0.634290 0.107797 -0.955530
0.641900 0.094944 -0.948330
0.649500 0.094038 -0.940320
0.657100 0.095078 -0.931910
0.664690 0.110064 -0.922750
0.672270 0.101996 -0.913880
0.679840 0.092874 -0.904470
0.687410 0.089698 -0.896700
0.694960 0.092467 -0.888300
0.702510 0.088183 -0.884270
0.710050 0.102846 -0.872670
0.717580 0.101455 -0.796640
0.725100 0.088011 -0.756390
0.732610 0.082514 -0.744470
0.740110 0.093964 -0.730160
0.747600 0.082364 -0.715170
0.755080 0.076712 -0.697060
0.762560 0.081010 -0.677560
0.770020 0.080259 -0.656470
0.777470 0.080459 -0.634360
0.784910 0.083611 -0.611290
0.792340 0.085716 -0.587490
0.799760 0.078775 -0.563000
0.807170 0.078788 -0.537950
0.814560 0.077758 -0.512440
0.821950 0.058685 -0.486530
0.829330 0.073569 -0.460210
0.836700 0.062412 -0.433470
0.844050 0.063215 -0.406320
0.851400 0.049978 -0.378790
0.858730 0.063702 -0.350920
0.866060 0.055388 -0.322750
0.873370 0.049038 -0.294210
0.880680 0.051652 -0.265240
0.887970 0.054230 -0.235760
0.895250 0.049773 -0.205680
0.902520 0.050281 -0.174940
0.909780 0.049757 -0.143520
0.917030 0.040200 -0.111320
0.924260 0.034611 -0.078185
0.931480 0.037992 -0.044015
0.938680 0.025346 -0.008758
0.945840 0.025677 0.027589
0.952950 0.030995 0.064907
0.959980 0.027312 0.102920
0.966870 0.022657 0.140960
0.973510 0.014070 0.178040
0.979820 0.007592 0.213000
0.985540 0.011323 0.243820
0.990660 0.017284 0.269870
0.995390 0.001384 0.291980
1.000000 -0.003478 0.311470
0.000000 0.016000 0.327200
0.000000 0.007000 0.320300
0.000000 0.004000 0.305850
0.000000 0.017000 0.290340
0.000000 0.002000 0.274120
0.000000 0.005000 0.258210
0.000000 0.016000 0.242560
0.000000 0.006000 0.227350
0.000000 0.014000 0.212590
0.000000 0.014000 0.198330
0.000000 0.005000 0.184580
0.000000 0.004000 0.171360
0.000000 0.005000 0.158660
0.000000 0.003000 0.146510
0.000000 0.005000 0.134910
0.000000 0.002000 0.123860
0.000000 0.011000 0.113370
0.000000 0.013000 0.103440
0.000000 0.009000 0.094079
0.000000 0.010000 0.085281
0.000000 0.019000 0.077047
0.000000 0.004000 0.069374
0.000000 0.017000 0.062257
0.000000 0.006000 0.055686
0.000000 0.013000 0.049650
0.000000 0.010000 0.044135
0.000000 0.001000 0.039124
0.000000 0.010000 0.034598
0.000000 0.013000 0.030538
0.000000 0.008000 0.026925
0.000000 0.005000 0.023742
0.000000 0.012000 0.020973
0.000000 0.008000 0.018611
0.000000 0.007000 0.016664
0.000000 0.001000 0.015150
0.000135 0.008791 1.085600
0.001561 0.008937 0.876500
0.004077 0.012515 0.639640
0.007395 0.006376 0.480810
0.011438 0.007405 0.374390
0.016180 -0.003457 0.299630
0.021567 -0.002223 0.245930
0.027513 -0.002892 0.206310
0.033900 -0.012457 0.177030
0.040613 -0.016920 0.154950
0.047554 -0.015281 0.138490
0.054649 -0.017552 0.125920
0.061849 -0.017746 0.115790
0.069120 -0.019870 0.107770
0.076439 -0.008938 0.100900
0.083794 -0.016958 0.094748
0.091174 -0.025939 0.088942
0.098573 -0.026886 0.083505
0.105990 -0.015804 0.078260
0.113410 -0.027699 0.072803
0.120850 -0.020574 0.067285
0.128290 -0.019432 0.061508
0.135730 -0.028274 0.055563
0.143180 -0.013103 0.049393
0.150640 -0.018918 0.042941
0.158090 -0.026721 0.036424
0.165550 -0.029513 0.029598
0.173010 -0.018295 0.022429
0.180470 -0.029064 0.015182
0.187930 -0.037821 0.007800
0.195400 -0.036566 0.000201
0.202860 -0.026299 -0.007532
0.210320 -0.029018 -0.015417
0.217780 -0.035723 -0.023259
0.225250 -0.033413 -0.031077
0.232710 -0.039088 -0.039079
0.240170 -0.026745 -0.047031
0.247640 -0.027386 -0.054866
0.255100 -0.034007 -0.062715
0.262560 -0.043610 -0.070574
0.270030 -0.033193 -0.078293
0.277490 -0.025754 -0.085785
0.284960 -0.036292 -0.093121
0.292420 -0.037808 -0.100290
0.299880 -0.027300 -0.107250
0.307350 -0.032767 -0.114020
0.314810 -0.039208 -0.120550
0.322280 -0.048623 -0.126760
0.329740 -0.039010 -0.132660
0.337210 -0.035369 -0.138250
0.344670 -0.048700 -0.143510
0.352140 -0.049002 -0.148500
0.359610 -0.037274 -0.153200
0.367070 -0.042515 -0.157400
0.374540 -0.042724 -0.161120
0.382010 -0.039902 -0.164520
0.389470 -0.050049 -0.167600
0.396940 -0.040163 -0.170310
0.404400 -0.034244 -0.172520
0.411870 -0.045291 -0.174230
0.419330 -0.038305 -0.175560
0.426800 -0.049286 -0.176490
0.434260 -0.034232 -0.176910
0.441730 -0.034144 -0.176870
0.449190 -0.036021 -0.176430
0.456650 -0.031864 -0.175500
0.464110 -0.041672 -0.174090
0.471570 -0.036445 -0.172270
0.479030 -0.036184 -0.170050
0.486490 -0.041887 -0.167290
0.493940 -0.030555 -0.164050
0.501400 -0.031189 -0.160480
0.508850 -0.044789 -0.156540
