X Z Cp
0.000000 0.011000 0.070538
0.000000 0.006000 0.063443
0.000000 0.006000 0.056921
0.000000 0.008000 0.050952
0.000000 0.002000 0.045514
0.000000 0.005000 0.040583
0.000000 0.000000 0.036136
0.000000 0.013000 0.032148
0.000000 0.019000 0.028601
0.000000 0.007000 0.025481
0.000000 0.005000 0.022780
0.000000 0.018000 0.020508
0.000000 0.015000 0.018685
0.000556 0.011713 1.153600
0.001932 0.010237 0.923420
0.004371 0.015783 0.608900
0.007892 0.013363 0.442380
0.012456 0.007015 0.299820
0.018000 -0.005236 0.187820
0.024452 -0.009370 0.107210
0.031730 -0.005367 0.048994
0.039738 -0.006215 0.007584
0.048374 -0.021901 -0.021249
0.057534 -0.005426 -0.040929
0.067126 -0.010796 -0.053773
0.077064 -0.021018 -0.061825
0.087281 -0.018110 -0.066974
0.097716 -0.022082 -0.070158
0.108320 -0.027949 -0.071988
0.119070 -0.032723 -0.073293
0.129910 -0.018415 -0.074362
0.140820 -0.026036 -0.075660
0.151780 -0.030591 -0.077028
0.162760 -0.035087 -0.078589
0.173750 -0.040530 -0.080621
0.184720 -0.029924 -0.083202
0.195670 -0.039272 -0.086089
0.206580 -0.046575 -0.089331
0.217430 -0.031836 -0.092966
0.228210 -0.039055 -0.096873
0.238920 -0.039232 -0.100990
0.249550 -0.047370 -0.105480
0.260070 -0.040468 -0.110210
0.270490 -0.047525 -0.114990
0.280800 -0.041541 -0.119870
0.290980 -0.044517 -0.124860
0.301040 -0.039452 -0.129830
0.310970 -0.054346 -0.134850
0.320760 -0.060199 -0.139830
0.330400 -0.046011 -0.144800
0.339890 -0.044782 -0.149690
0.349230 -0.055512 -0.154380
0.358400 -0.057201 -0.158940
0.367420 -0.045850 -0.163370
0.376270 -0.055458 -0.167690
0.384940 -0.046027 -0.171820
0.393450 -0.051557 -0.175650
0.401770 -0.064049 -0.179310
0.409920 -0.057504 -0.182840
0.417880 -0.059921 -0.186070
0.425660 -0.051304 -0.189050
0.433250 -0.056652 -0.191900
0.440650 -0.065966 -0.194450
0.447860 -0.059248 -0.196660
0.454870 -0.048499 -0.198660
0.461690 -0.059721 -0.200480
0.468320 -0.065915 -0.202050
0.474740 -0.057082 -0.203350
0.480970 -0.049223 -0.204370
0.486990 -0.052341 -0.205150
0.492820 -0.068436 -0.205770
0.498440 -0.051511 -0.206270
0.503860 -0.050567 -0.206610
0.509080 -0.049606 -0.206730
0.514090 -0.052628 -0.206620
0.518890 -0.064635 -0.206340
0.523490 -0.064630 -0.205930
0.527890 -0.067613 -0.205420
0.532080 -0.063587 -0.204810
0.536060 -0.066552 -0.204100
0.539830 -0.054510 -0.203290
0.543400 -0.060463 -0.202390
0.546760 -0.054411 -0.201400
0.549910 -0.049356 -0.200360
0.552860 -0.052298 -0.199350
0.555600 -0.057240 -0.198460
