X Z P
0.002612 0.029696 43842.554690
0.002624 0.020658 43780.949220
0.002700 0.019481 43752.273440
0.003141 0.022447 43696.191410
0.003230 0.016271 43640.394530
0.003305 0.012094 43596.218750
0.003721 0.016211 43538.000000
0.003885 0.012909 43471.367190
0.025827 -0.000853 40017.363280
0.026446 0.001729 39959.988280
0.027254 -0.005825 39900.468750
0.027367 -0.001901 39873.699220
0.028299 -0.010518 39830.484380
0.028918 -0.005924 39793.535160
0.029524 -0.010325 39753.976560
0.010885 0.015933 41764.339840
0.011137 0.013656 41725.722660
0.011591 0.001177 41684.523440
0.011893 -0.001163 41608.582030
0.012158 0.008571 41528.437500
0.012524 0.012193 41479.125000
0.012927 0.013777 41440.960940
0.013192 0.011512 41414.652340
0.013482 0.014222 41342.914060
0.013987 -0.001270 41259.253910
0.014253 -0.000535 41225.078120
0.014453 0.013276 41197.367190
0.015070 0.003709 41124.167970
0.015615 -0.002797 41035.500000
0.016446 0.008460 40985.761720
0.016459 0.011435 40927.023440
0.005727 0.021655 42884.593750
0.006167 0.021987 42796.691410
0.006269 0.015835 42754.984380
0.006471 0.008520 42726.312500
0.006686 0.015216 42666.035160
0.007140 0.020562 42553.472660
0.008060 0.006313 42353.859380
0.008299 0.017022 42290.726560
0.008905 0.019254 42183.550780
0.008955 0.010191 42112.226560
0.009183 0.009912 42066.968750
0.009775 0.019207 42009.199220
0.009901 0.013056 41973.718750
0.010142 0.015766 41912.671880
0.007253 0.011410 42471.820310
0.007480 0.009106 42431.828120
0.008034 0.009364 42386.914060
0.003961 0.023744 43378.503910
0.004352 0.012001 43282.898440
0.004592 0.017572 43236.246090
0.004680 0.009408 43190.183590
0.005020 0.008816 43117.460940
0.005348 0.025261 43052.312500
0.005449 0.019109 42985.902340
0.010670 0.008173 41822.855470
0.017290 0.006717 40846.039060
0.017858 0.003237 40773.074220
0.018527 0.004669 40689.738280
0.018703 0.007519 40625.015620
0.019572 0.002824 40584.246090
0.020154 0.000357 40514.000000
0.021619 -0.000790 40360.660160
0.022512 -0.009458 40305.589840
0.022815 0.007315 40268.796880
0.023407 -0.003125 40207.269530
0.020645 -0.002033 40454.996090
0.021035 -0.010336 40420.984380
0.024014 -0.002556 40148.574220
0.024921 0.006789 40086.980470
0.025009 -0.008274 40035.214840
0.001338 0.030567 44247.597660
0.001589 0.016686 44191.148440
0.001641 0.030508 44160.476560
0.001704 0.030256 44149.394530
0.001767 0.025079 44112.953120
0.002095 0.016070 44049.828120
0.002132 0.031969 44012.332030
0.002196 0.016793 43953.132810
0.000783 0.018228 44406.046880
0.000897 0.029635 44374.464840
0.000922 0.029446 44361.347660
0.001035 0.025891 44332.855470
0.001199 0.028148 44300.867190
0.001250 0.030971 44284.929690
0.000455 0.029960 44450.789060
0.000493 0.032940 44463.171880
0.000517 0.028625 44467.792970
0.000531 0.022448 44468.777340
0.000607 0.026578 44464.074220
0.000443 0.033289 44432.050780
0.000443 0.024138 44441.457030
0.000468 0.024462 44399.921880
0.000468 0.029651 44367.820310
0.000543 0.038899 44324.066410
0.000657 0.028124 44455.183590
0.000682 0.028946 44441.136720
0.000556 0.026101 44286.265620
0.000581 0.026353 44266.250000
0.000569 0.032191 44282.746090
0.000695 0.033539 44196.773440
0.000733 0.046841 44123.058590
0.000909 0.042976 44035.671880
0.000895 0.040876 44089.367190
0.000985 0.046418 43968.699220
0.001161 0.039402 43884.035160
0.001149 0.036301 43928.785160
0.001300 0.047994 43818.738280
0.001313 0.035095 43773.144530
0.001489 0.033814 43719.433590
0.001677 0.044545 43627.617190
0.001704 0.036646 43566.074220
0.001855 0.035214 43522.726560
0.002120 0.038084 43436.097660
0.002145 0.039185 43362.906250
0.002272 0.033601 43321.871090
0.002662 0.038723 43164.789060
0.002347 0.047790 43263.660160
0.002750 0.054963 43074.058590
0.003154 0.041022 43009.292970
0.003217 0.049211 42934.539060
0.003267 0.056325 42869.113280
0.003759 0.047497 42806.523440
0.003835 0.043674 42680.679690
0.004339 0.050797 42555.148440
0.004428 0.049973 42510.964840
0.004491 0.041125 42442.605470
0.005058 0.051273 42297.300780
0.004970 0.043096 42345.636720
0.005197 0.045550 42276.511720
0.005298 0.051726 42252.972660
0.005437 0.058004 42168.437500
0.005739 0.056559 42073.281250
0.005954 0.051949 42035.000000
0.006043 0.060126 41986.296880
0.006445 0.061832 41895.164060
0.006735 0.052337 41822.308590
0.006836 0.049502 41779.035160
0.007177 0.063069 41685.562500
0.007555 0.054698 41594.347660
0.007669 0.062863 41554.609380
0.007946 0.049304 41504.324220
0.008413 0.048035 41424.980470
0.008640 0.048364 41313.859380
0.009422 0.059512 41199.968750
0.009560 0.056713 41126.300780
0.010216 0.055657 41046.937500
0.010456 0.063974 40936.648440
0.011263 0.059058 40850.632810
0.011288 0.064096 40798.609380
0.011881 0.069865 40709.839840
0.012133 0.068193 40632.808590
0.012374 0.051509 40595.468750
0.013041 0.072341 40520.250000
0.013254 0.070593 40470.285160
0.013508 0.065897 40367.257810
0.014907 0.054560 40241.839840
0.015298 0.075026 40148.824220
0.015564 0.063318 40084.726560
0.016824 0.064730 39970.058590
0.017430 0.067385 39859.859380
0.017707 0.068675 39797.734380
0.018804 0.078848 39713.160160
0.019624 0.076681 39639.328120
0.019902 0.069971 39555.660160
0.020847 0.078904 39465.378910
0.022286 0.070317 39320.554690
0.021404 0.062461 39393.785160
0.022915 0.068923 39238.386720
0.023986 0.069929 39156.085940
0.030671 -0.008056 39667.679690
0.031111 -0.007334 39644.226560
0.031428 -0.003524 39608.148440
0.031819 -0.010776 39584.062500
0.032373 0.000884 39570.117190
0.032689 -0.013306 39549.605470
0.032979 -0.003482 39513.144530
0.029851 0.002472 39706.773440
0.030167 -0.004731 39680.316410
0.033646 0.000114 39483.972660
0.033963 -0.018075 39474.800780
0.034139 -0.008189 39449.765620
0.034920 -0.019643 39408.800780
0.035237 -0.016832 39387.644530
0.035312 -0.011881 39383.167970
0.035628 -0.016060 39376.597660
0.036094 -0.009335 39353.382810
0.036485 -0.014563 39332.187500
0.036523 -0.006576 39327.726560
0.036852 -0.008765 39318.312500
0.037670 -0.016232 39284.664060
0.037822 -0.020320 39247.617190
0.038150 -0.021498 39229.156250
0.038856 -0.018900 39217.125000
0.039121 -0.012039 39204.160160
0.039448 -0.010228 39179.164060
0.041731 -0.021464 39073.609380
0.042388 -0.021817 39047.191410
0.040041 -0.016556 39158.925780
0.040419 -0.021758 39151.175780
0.040748 -0.014934 39129.648440
0.041239 -0.018199 39095.992190
0.048502 -0.013932 38813.269530
0.048680 -0.023020 38798.269530
0.049687 -0.014511 38780.468750
0.050358 -0.023827 38759.871090
0.050950 -0.027117 38730.066410
0.051365 -0.009306 38709.738280
0.052035 -0.017623 38692.492190
0.054734 -0.021884 38600.468750
0.055743 -0.028349 38578.953120
0.053043 -0.018101 38675.964840
0.053409 -0.027265 38662.808590
0.054063 -0.025579 38632.597660
0.043372 -0.022334 39020.535160
0.043648 -0.018473 39004.882810
0.044366 -0.017850 38974.800780
0.045024 -0.006192 38943.546880
0.046019 -0.007696 38914.761720
0.046069 -0.009709 38892.570310
0.047014 -0.025188 38874.078120
0.047685 -0.018528 38838.003910
0.055879 -0.022400 38568.257810
0.056762 -0.022803 38558.429690
0.057445 -0.011107 38535.554690
0.058352 -0.027521 38505.585940
0.060004 -0.030228 38489.550780
0.059857 -0.016168 38489.335940
0.059706 -0.032105 38488.031250
0.059592 -0.012053 38486.875000
0.059491 -0.016015 38485.890620
0.059414 -0.011977 38485.058590
0.059339 -0.015940 38484.347660
0.059276 -0.019914 38486.457030
0.024567 0.084473 39098.621090
0.025047 0.075902 39030.925780
0.026307 0.076035 38947.117190
0.026900 0.071566 38885.843750
0.027203 0.070831 38833.523440
0.028665 0.078104 38762.156250
0.029260 0.082622 38709.039060
0.029397 0.088724 38654.308590
0.031009 0.077082 38587.585940
0.031617 0.074589 38530.871090
0.031667 0.077627 38480.714840
0.032954 0.072674 38437.871090
0.033862 0.085405 38384.277340
0.033254 0.078912 38405.613280
0.034113 0.090607 38352.480470
0.034733 0.081087 38295.605470
0.036144 0.092196 38216.304690
0.036585 0.078536 38160.726560
0.037206 0.091017 38123.968750
0.038452 0.093961 38078.621090
0.039082 0.084428 38031.683590
0.039714 0.088896 37990.472660
0.040773 0.078689 37933.968750
0.041604 0.083293 37870.929690
0.042551 0.090963 37843.664060
0.043506 0.089654 37820.898440
0.045489 0.100056 37747.578120
0.044199 0.093133 37789.078120
0.045918 0.091359 37678.171880
0.046951 0.095077 37618.390620
0.047609 0.083520 37572.664060
0.049008 0.083478 37522.914060
0.049903 0.099083 37494.667970
0.050269 0.090335 37472.515620
0.052222 0.086621 37410.179690
0.052893 0.105063 37334.312500
0.055111 0.088513 37291.906250
0.055603 0.088816 37262.007810
0.056427 0.100336 37246.785160
0.056616 0.097461 37246.179690
0.056870 0.088614 37238.425780
0.057223 0.089840 37217.605470
0.057742 0.094169 37189.917970
0.058616 0.091714 37157.734380
0.060004 0.103590 37139.609380
0.078694 -0.029732 38069.492190
0.079573 -0.038046 38066.773440
0.081292 -0.031678 38055.722660
0.081647 -0.022805 38040.027340
0.082490 -0.030119 38029.957030
0.082817 -0.026233 38018.660160
0.084520 -0.021838 38005.406250
0.084891 -0.029978 37995.035160
0.086072 -0.032393 37977.953120
0.086298 -0.031469 37954.343750
0.087253 -0.030808 37939.617190
0.087749 -0.026973 37953.050780
0.087891 -0.031023 37952.804690
0.089328 -0.028529 37945.007810
0.090042 -0.034771 37919.847660
0.090107 -0.030793 37919.234380
0.090509 -0.040930 37911.035160
0.090977 -0.026083 37896.351560
0.092608 -0.039639 37888.355470
0.093941 -0.038079 37878.171880
0.097070 -0.040114 37829.554690
0.097774 -0.026352 37820.050780
0.099445 -0.042880 37818.972660
0.100662 -0.045273 37801.394530
0.094971 -0.031430 37850.937500
0.101545 -0.045552 37781.128910
0.101621 -0.043576 37779.164060
0.103721 -0.036246 37780.097660
0.105332 -0.034740 37761.078120
0.105480 -0.030787 37759.570310
0.106032 -0.036962 37739.605470
0.107119 -0.031291 37726.921880
0.119771 -0.039046 37644.175780
0.119995 -0.037112 37647.957030
0.118419 -0.041658 37626.804690
0.108144 -0.049608 37715.324220
0.109339 -0.045972 37705.730470
0.110532 -0.041336 37694.406250
0.112645 -0.039968 37674.210940
0.113210 -0.043132 37659.953120
0.113576 -0.038246 37667.464840
0.115323 -0.039753 37667.914060
0.117082 -0.036267 37634.656250
0.061625 -0.029931 38474.679690
0.061921 -0.023061 38446.101560
0.061486 -0.024868 38476.718750
0.061322 -0.012794 38478.585940
0.061132 -0.013717 38480.742190
0.060916 -0.014628 38482.257810
0.060651 -0.023514 38482.566410
0.060322 -0.017375 38486.035160
0.060004 -0.013228 38489.476560
0.063662 -0.026805 38382.859380
0.064808 -0.032284 38332.925780
0.065833 -0.023701 38306.140620
0.067394 -0.028343 38287.476560
0.067684 -0.018468 38282.734380
0.068378 -0.032747 38281.210940
0.069992 -0.032390 38243.625000
0.070561 -0.025617 38214.503910
0.071151 -0.035844 38210.371090
0.071607 -0.032021 38210.144530
0.069536 -0.023212 38273.843750
0.073202 -0.035641 38192.617190
0.074006 -0.025955 38163.289060
0.074911 -0.020307 38139.792970
0.075163 -0.028407 38130.371090
0.076331 -0.032847 38134.105470
0.078063 -0.023492 38108.355470
0.078405 -0.019619 38077.296880
0.060955 0.104178 37032.742190
0.060004 0.100590 37056.937500
0.061550 0.100545 37010.796880
0.061904 0.094761 37012.765620
0.062145 0.100912 37013.871090
0.062321 0.102013 37016.578120
0.063359 0.110646 36977.832030
0.062449 0.107090 37013.085940
0.064795 0.106503 36930.980470
0.065289 0.094807 36876.164060
0.067016 0.096840 36842.492190
0.068378 0.107635 36808.757810
0.069462 0.105265 36760.144530
0.069967 0.107556 36722.914060
0.070635 0.096947 36696.156250
0.070699 0.108984 36693.746090
0.071607 0.110501 36700.203120
0.071607 0.107501 36702.191410
0.074394 0.102090 36602.382810
0.073888 0.113800 36656.375000
0.073889 0.114800 36662.562500
0.074684 0.105254 36586.804690
0.075189 0.109544 36563.074220
0.078063 0.105146 36514.312500
0.078114 0.105171 36491.046880
0.079425 0.117890 36483.156250
0.079943 0.103168 36449.066410
0.081292 0.106911 36409.917970
0.081859 0.123214 36387.433590
0.084722 0.116752 36313.808590
0.084204 0.116475 36361.402340
0.085605 0.124232 36280.136720
0.086260 0.107572 36281.480470
0.086641 0.123763 36290.402340
0.087749 0.124354 36270.191410
0.089375 0.111211 36219.058590
0.089502 0.110274 36187.273440
0.090526 0.120805 36183.140620
0.090977 0.111031 36170.796880
0.092591 0.110863 36136.339840
0.093159 0.116166 36109.144530
0.094166 0.117671 36083.535160
0.095203 0.111201 36046.375000
0.096955 0.125083 36034.375000
0.097434 0.122323 36011.503910
0.098844 0.132028 35973.035160
0.099893 0.116547 35951.035160
0.100776 0.131987 35920.949220
0.103548 0.127348 35874.941410
0.104597 0.129855 35819.921880
0.105505 0.122295 35822.253910
0.107119 0.125077 35816.261720
0.108275 0.118630 35775.097660
0.110190 0.135525 35765.156250
0.112277 0.127536 35684.906250
0.110348 0.131603 35756.625000
0.113576 0.134129 35648.710940
0.115414 0.124991 35651.136720
0.115730 0.132131 35635.742190
0.115566 0.127054 35635.660160
0.115907 0.136218 35634.933590
0.116603 0.121535 35624.554690
0.116580 0.140524 35625.800780
0.116350 0.136421 35629.578120
0.116122 0.120307 35632.351560
0.116906 0.138674 35611.687500
0.117653 0.139016 35598.867190
0.117187 0.134809 35603.386720
0.117249 0.138838 35601.859380
0.119386 0.130826 35517.773440
0.119386 0.128825 35517.730470
0.118691 0.122509 35547.050780
0.118640 0.141484 35551.675780
0.118122 0.139243 35582.324220
0.119995 0.122105 35515.769530
0.119995 -0.039112 37620.968750
0.120337 -0.040205 37619.503910
0.123261 -0.046033 37578.785160
0.124257 -0.044310 37532.582030
0.124370 -0.046348 37513.363280
0.126490 -0.045928 37540.679690
0.129718 -0.055824 37597.812500
0.130949 -0.048145 37576.246090
0.131008 -0.054161 37574.894530
0.131074 -0.056179 37573.949220
0.132946 -0.045694 37558.343750
0.126736 -0.043005 37596.042970
0.128596 -0.040508 37617.925780
0.128886 -0.050595 37621.238280
0.128708 -0.040546 37624.031250
0.133047 -0.042719 37546.546880
0.135425 -0.047351 37549.914060
0.137285 -0.039841 37556.378910
0.137398 -0.041867 37559.027340
0.139370 -0.048381 37545.382810
0.142632 -0.044216 37529.039060
0.145999 -0.046086 37507.355470
0.141243 -0.038859 37528.757810
0.146163 -0.058124 37477.515620
0.149337 -0.042917 37472.167970
0.151728 -0.050512 37455.929690
0.154738 -0.060243 37433.390620
0.154902 -0.042280 37434.039060
0.158076 -0.046049 37441.976560
