X Z P
0.311960 0.013250 43034.316410
0.311960 0.016250 43033.390620
0.312326 0.021657 42726.667970
0.312326 0.019657 42726.351560
0.312364 0.014607 42600.675780
0.312729 0.021077 42460.339840
0.312729 0.004077 42460.214840
0.312691 0.011115 42506.542970
0.313045 0.013636 42379.800780
0.313145 0.016510 42322.636720
0.313145 0.008510 42322.511720
0.313410 0.001169 42255.226560
0.313587 0.009955 42181.312500
0.313587 0.001955 42180.875000
0.310585 0.012491 43977.089840
0.310510 0.019817 44175.187500
0.310585 0.007491 43976.464840
0.310787 0.020810 43853.671880
0.310787 0.005810 43853.511720
0.310787 0.021810 43853.480470
0.310800 0.022785 43796.359380
0.311027 0.008154 43671.367190
0.311229 0.015675 43497.574220
0.311304 0.023499 43402.328120
0.311304 0.003499 43402.152340
0.311619 0.004868 43311.265620
0.311619 0.006868 43311.078120
0.311746 0.014616 43238.605470
0.313789 0.013715 41999.789060
0.310257 0.023278 44311.675780
0.310258 0.017572 44330.578120
0.310258 0.020572 44330.585940
0.310283 0.009035 44247.714840
0.310295 0.011093 44301.191410
0.310321 0.021866 44275.351560
0.310321 0.012866 44275.289060
0.310434 0.021172 44250.605470
0.310283 0.026035 44247.582030
0.310333 0.011514 44205.359380
0.310371 0.021791 44156.105470
0.310371 0.024791 44156.371090
0.310434 0.017172 44250.503910
0.310485 0.009920 44220.074220
0.310509 0.024820 44175.988280
0.310372 0.028795 44155.667970
0.310485 0.020535 44017.324220
0.310485 0.024535 44016.054690
0.310509 0.026647 43954.429690
0.310534 0.014746 43914.609380
0.310535 0.012750 43913.894530
0.310649 0.023280 43813.031250
0.310838 0.011960 43606.585940
0.336817 -0.014220 38802.265620
0.336816 -0.012220 38801.726560
0.335795 0.003196 38854.566410
0.335795 -0.006804 38855.210940
0.338002 -0.010686 38750.863280
0.339439 -0.008241 38701.972660
0.339439 -0.012241 38701.847660
0.314520 0.014908 41691.976560
0.314520 0.004908 41691.808590
0.314583 0.004832 41623.781250
0.315012 0.013404 41540.273440
0.315012 0.010404 41539.910160
0.315415 0.014000 41328.652340
0.316033 0.004433 41164.289060
0.316033 0.000433 41164.152340
0.316286 0.009193 41071.667970
0.317093 0.006512 40854.015620
0.317093 0.004512 40853.484380
0.318202 0.001629 40579.609380
0.318202 0.015629 40579.585940
0.318114 0.000692 40649.820310
0.318202 0.006629 40579.199220
0.319073 0.001986 40407.003910
0.319337 0.000797 40285.089840
0.317194 -0.003576 40716.890620
0.319343 0.008793 40284.515620
0.320485 0.011990 40128.460940
0.320485 0.001990 40128.160160
0.322868 0.010489 39843.707030
0.321676 0.012230 39947.039060
0.322869 -0.000511 39843.644530
0.323032 -0.003599 39785.000000
0.324092 -0.005217 39663.476560
0.324092 -0.002217 39663.257810
0.325088 0.008228 39547.281250
0.325315 0.002102 39495.398440
0.325315 0.008102 39495.335940
0.326563 -0.007566 39431.824220
0.326564 0.002434 39431.566410
0.321015 0.004649 40068.000000
0.321670 -0.001767 39947.679690
0.321671 -0.006767 39947.332030
0.314041 0.005425 41815.679690
0.314041 0.016425 41815.414060
0.329086 0.007172 39236.535160
0.328734 0.009348 39261.062500
0.329086 -0.010828 39236.425780
0.329300 0.004072 39210.039060
0.327181 -0.008882 39347.121090
0.327812 0.002790 39308.375000
0.327812 0.005790 39308.187500
0.330359 0.005567 39137.164060
0.330359 -0.000433 39137.035160
0.331457 -0.006937 39078.492190
0.331633 0.003987 39030.695310
0.331633 -0.009013 39030.656250
0.332919 -0.007581 38991.781250
0.332919 -0.012581 38991.636720
0.333613 -0.004883 38943.890620
0.334218 -0.013148 38911.636720
0.334218 0.003852 38911.507810
0.310850 0.016024 43478.929690
0.310850 0.030024 43479.093750
0.311090 0.013742 43383.078120
0.311090 0.016742 43383.304690
0.311229 0.013133 43295.472660
0.311355 0.028449 43161.085940
0.311355 0.027449 43161.636720
0.311657 0.033142 42959.554690
0.311657 0.033142 42959.781250
0.311720 0.030281 42886.253910
0.311998 0.034836 42778.250000
0.312351 0.031504 42360.144530
0.312351 0.021504 42360.320310
0.312729 0.016160 42262.285160
0.312729 0.031160 42262.496090
0.312906 0.025475 42185.468750
0.313120 0.024816 42068.199220
0.313120 0.034816 42068.515620
0.313549 0.018446 41953.699220
0.313549 0.025446 41953.851560
0.313587 0.019509 41867.136720
0.311997 0.014836 42772.492190
0.312131 0.029102 42604.378910
0.312288 0.034391 42445.566410
0.313978 0.026064 41691.308590
0.313978 0.023064 41691.664060
0.314318 0.037518 41531.355470
0.314432 0.032682 41454.097660
0.314432 0.036682 41454.253910
0.314898 0.038275 41376.550780
0.314898 0.038275 41376.710940
0.315087 0.039502 41249.421880
0.315882 0.028460 40995.308590
0.315882 0.033460 40995.781250
0.316714 0.038393 40859.144530
0.316891 0.034583 40736.308590
0.316891 0.035583 40735.734380
0.317933 0.032675 40555.109380
0.317938 0.032680 40554.398440
0.317938 0.038680 40554.582030
0.318442 0.023184 40422.515620
0.317938 0.040680 40554.300780
0.319022 0.038739 40236.800780
0.319027 0.035744 40236.281250
0.320132 0.039785 40124.359380
0.320132 0.029786 40126.398440
0.320137 0.028790 40122.265620
0.320258 0.037887 39998.539060
0.320258 0.043887 39996.863280
0.321267 0.041795 39910.574220
0.321267 0.032795 39910.851560
0.322124 0.031539 39781.839840
0.322427 0.041778 39708.757810
0.322427 0.041778 39708.910160
0.323600 0.044749 39599.273440
0.323600 0.046749 39598.988280
0.324054 0.033115 39521.828120
0.324785 0.042695 39444.761720
0.324785 0.040695 39445.082030
0.325983 0.030628 39336.914060
0.325983 0.032628 39337.023440
0.326021 0.036641 39290.753910
0.327207 0.036536 39202.339840
0.327207 0.038536 39202.125000
0.328014 0.032129 39129.050780
0.328016 0.042131 39128.824220
0.328430 0.045432 39061.785160
0.328430 0.033432 39061.667970
0.329666 0.038315 39008.664060
0.329666 0.052315 39007.527340
0.330044 0.050580 38933.394530
0.330044 0.032579 38932.589840
0.330914 0.051185 38873.476560
0.330914 0.038185 38873.644530
0.332175 0.043030 38768.968750
0.332175 0.036030 38769.062500
0.332100 0.037979 38806.976560
0.333436 0.050875 38693.425780
0.333437 0.035875 38693.281250
0.335984 0.044527 38567.066410
0.335984 0.048527 38567.140620
0.334168 0.039354 38630.292970
0.335984 0.050527 38567.066410
0.335984 0.048527 38567.011720
0.335985 0.045528 38566.753910
0.336274 0.041703 38527.507810
0.336337 0.044753 38472.007810
0.337953 0.053763 38411.855470
0.337951 0.037762 38412.847660
0.338569 0.050141 38371.460940
0.339565 0.039746 38325.125000
0.338380 0.046027 38385.027340
0.340209 0.004469 38660.207030
0.342075 0.000775 38628.511720
0.342075 -0.015225 38628.464840
0.342075 -0.001225 38628.457030
0.342428 -0.014351 38617.582030
0.342794 -0.006477 38587.246090
0.344660 0.000867 38541.140620
0.344736 -0.017158 38520.628910
0.346022 -0.000600 38502.156250
0.346905 -0.001902 38483.890620
0.347397 -0.014066 38462.039060
0.347397 0.000934 38461.910160
0.349150 -0.004646 38415.273440
0.350070 -0.000949 38393.035160
0.350071 -0.004949 38392.996090
0.351407 -0.009365 38367.644530
0.352756 -0.002794 38338.281250
0.352757 -0.018794 38338.230470
0.355455 -0.020614 38296.988280
0.355456 -0.013614 38296.718750
